# Numero de nodos n =4+1
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
135 0.496 1 1.006683774 0.00668377366
136 0.507 1 0.987078022 0.01292197795
137 0.518 1 0.9634228373 0.03657716267
138 0.529 1 0.9353518056 0.06464819443
139 0.54 1 0.9024962265 0.0975037735
140 0.551 1 0.8644883852 0.1355116148
141 0.562 1 0.8209651987 0.1790348013
142 0.573 1 0.7715722575 0.2284277425
143 0.584 1 0.7159682796 0.2840317204
144 0.595 1 0.6538299998 0.3461700002
145 0.606 1 0.5848575114 0.4151424886
146 0.617 1 0.5087800836 0.4912199164
147 0.628 1 0.4253624744 0.5746375256
148 0.639 1 0.3344117599 0.6655882401
149 0.65 1 0.235784704 0.764215296
150 0.661 1 0.1293956884 0.8706043116
151 0.672 1 0.01522522691 0.9847747731
152 0.683 1 -0.1066709133 1.106670913
153 0.694 1 -0.2361519599 1.23615196
154 0.705 -1 -0.3729817293 0.6270182707
155 0.716 -1 -0.516817542 0.483182458
156 0.727 -1 -0.6671984353 0.3328015647
157 0.738 -1 -0.823532647 0.176467353
158 0.749 -1 -0.985084346 0.01491565401
159 0.76 -1 -1.150959584 0.150959584
160 0.771 -1 -1.320091441 0.3200914407
161 0.782 -1 -1.491224337 0.4912243374
162 0.793 -1 -1.662897492 0.6628974919
163 0.804 -1 -1.833427486 0.8334274858
164 0.815 -1 -2.000889919 1.000889919
165 0.826 -1 -2.163100118 1.163100118
166 0.837 -1 -2.317592883 1.317592883
167 0.848 -1 -2.461601221 1.461601221
168 0.859 -1 -2.592034058 1.592034058
169 0.87 -1 -2.705452898 1.705452898
170 0.881 -1 -2.798047376 1.798047376
171 0.892 -1 -2.865609708 1.865609708
172 0.903 -1 -2.903507983 1.903507983
173 0.914 -1 -2.906658273 1.906658273
174 0.925 -1 -2.869495527 1.869495527
175 0.936 -1 -2.78594323 1.78594323
176 0.947 -1 -2.649381771 1.649381771
177 0.958 -1 -2.452615506 1.452615506
178 0.969 -1 -2.187838481 1.187838481
179 0.98 -1 -1.846598763 0.8465987632
180 0.991 -1 -1.41976138 0.4197613798


# Numero de nodos n =16 
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
0 -0.989 -1 6.385763847 7.385763847
1 -0.978 -1 10.13770181 11.13770181
2 -0.967 -1 11.40736456 12.40736456
3 -0.956 -1 11.06287477 12.06287477
4 -0.945 -1 9.746691515 10.74669151
5 -0.934 -1 7.923358137 8.923358137
6 -0.923 -1 5.918727805 6.918727805
7 -0.912 -1 3.951968934 4.951968934
8 -0.901 -1 2.161481579 3.161481579
9 -0.89 -1 0.6257042052 1.625704205
10 -0.879 -1 -0.6203441285 0.3796558715
11 -0.868 -1 -1.572059764 0.5720597641
12 -0.857 -1 -2.245166711 1.245166711
13 -0.846 -1 -2.668015028 1.668015028
14 -0.835 -1 -2.875815511 1.875815511
15 -0.824 -1 -2.906430976 1.906430976
16 -0.813 -1 -2.797405399 1.797405399
17 -0.802 -1 -2.583965005 1.583965005
18 -0.791 -1 -2.297770977 1.297770977
19 -0.78 -1 -1.966242633 0.9662426331
20 -0.769 -1 -1.612303413 0.6123034131
21 -0.758 -1 -1.25443053 0.25443053
22 -0.747 -1 -0.9069132477 0.09308675232
23 -0.736 -1 -0.5802450326 0.4197549674
24 -0.725 -1 -0.2815917567 0.7184082433
25 -0.714 -1 -0.01529216098 0.984707839
26 -0.703 -1 0.2166416916 1.216641692
27 -0.692 1 0.4140468788 0.5859531212
28 -0.681 1 0.5781703834 0.4218296166
29 -0.67 1 0.711277591 0.288722409
30 -0.659 1 0.8163133231 0.1836866769
31 -0.648 1 0.8966166849 0.1033833151
32 -0.637 1 0.9556884074 0.04431159256
33 -0.626 1 0.9970075159 0.002992484098
34 -0.615 1 1.023892931 0.02389293136
35 -0.604 1 1.039404872 0.03940487187
36 -0.593 1 1.046280574 0.04628057415
